item_id,name,description,price,url,image
1,ジルスチュアート リップバーム・ハンドクリーム セット,,3940,https://amzn.asia/d/e331m0W,item_1.jpg
2,MIYI バスボム 12個ギフトセット,,3299,https://amzn.asia/d/b29sP7V,item_2.jpg
3,arboleaf 筋膜リリースガン,,5599,https://amzn.asia/d/6TLjHsP,item_3.jpg
4,Bewell 木製腕時計 メンズ,,5450,https://amzn.asia/d/1jrtd6s,item_4.jpg
5,ALNAE タンブラー,,2899,https://amzn.asia/d/ab8NqcN,item_5.jpg
6,[breo] 電動ヘッドブラシ,,12880,https://amzn.asia/d/fJPsoQi,item_6.jpg
7,プリザーブドフラワー,,5687,https://amzn.asia/d/6GXt0XE,item_7.jpg
8,ジルスチュアート ホワイトフローラル コレクション,,6980,https://amzn.asia/d/5Q6ESEB,item_8.jpg
9,Bluetooth スピーカー,,4599,https://amzn.asia/d/i7eYbzK,item_9.jpg
10,[Lycharoty] 手袋 レディース,,2000,https://amzn.asia/d/1rg94MN,item_10.jpg
11,atelierCODEL キーケース,,7990,https://amzn.asia/d/gMssI4p,item_11.jpg
12,クワトロボタニコ エイジングケア クリーム,,3520,https://amzn.asia/d/6isn6fH,item_12.jpg
13,imaa(アイマ) 今治タオル 認定 ハンカチ,,2400,https://amzn.asia/d/7Xisa2W,item_13.jpg
14,[カルバンクライン] メンズ カジュアル ソックス,,986,https://amzn.asia/d/fwyaUIF,item_14.jpg
15,Wawalag りらっくび ネックピロー,,3480,https://amzn.asia/d/dZG8ViA,item_15.jpg
16,Kyerlish カップウォーマー,,3780,https://amzn.asia/d/9y0V82J,item_16.jpg
17,SHIRO ホワイトリリー ボディミスト,,2310,https://amzn.asia/d/i321wkI,item_17.jpg
18,[未来天使] 誕生石 ネックレス,,12100,https://amzn.asia/d/3jK0YxW,item_18.jpg
19,AMOROSA プリザーブドフラワー,,8800,https://amzn.asia/d/eFsLUsj,item_19.jpg
20,カシミヤ チェック ストール,,13970,https://amzn.asia/d/j9vt90V,item_20.jpg
